runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17
71136,1,1,0.5,11965932,4,0,30000,0.1,10,0.25,0,0.00001,3,6,6,3,1
21812,1,1,0.5,11000000,-2,0,50000,0.1,10,0,0,0.00001,1,6,6,3,3
422,1,1,0.8,1.8,-2,0,50000,0.1,10,0.25,0,0.00001,3,6,6,3,1
353,1,1,0.5,1.1,14,0,50000,0.1,10,0.25,0,0.00001,3,6,6,3,1
11,2,-1,0.5,1.1,12,0,10000,0.1,10,0,0,0.00001,3,6,6,3,1
3150,1,-1,3,1000000,12,0,10000,0.1,10,0,0,0.00001,1,6,6,3,2
2212,1,1,0.098,2397116.711,0,0,10000,0.1,10,0,0,0.00001,1,6,6,3,7
15721,1,1,0.3,6.8,20,0,50000,0.1,10,-0.25,0,0.00001,3,6,6,3,1
11,2,1,0.3,6.8,-2,0,75000,0.1,10,0.25,0,0.00001,3,6,6,3,1
2307,1,-1,0.8,1000000,1.25,0,10000,0.1,10,0,0,0.00001,3,6,6,3,3
7356,1,1,0.8,1.8,18,0,50000,0.1,10,0.25,0,0.00001,3,6,6,3,1
3206,1,-1,2,1000000,15,0,10000,0.1,10,0,0,0.00001,1,6,6,3,2
2,2,-1,0.8,1.8,10,0,50000,0.1,10,-0.25,0,0.00001,3,6,6,3,1
8400,1,-1,0.5,1.1,12,0,10000,0.1,10,0.25,0,0.00001,3,6,6,3,1
28408,1,1,2.63,2200000,0,0,20000,0.1,10,0,0,0.00001,1,9,6,3,2
22537,1,-1,0.3,6900000,12,0,50000,0.1,10,0,0,0.00001,1,6,6,3,3
2802,1,-1,2.15,1000000,0,0,10000,0.1,10,0,0,0.00001,3,6,6,3,4
2828,1,1,3,5309553.8,8,0,10000,0.1,10,0,0,0.00001,1,6,6,3,2
13291,1,1,0.4902,25000000,0,0,200000,0.1,50000,0,0,0.00001,0.5,6,6,3,8
677,1,1,0.8,1.8,-8,0,50000,0.1,10,0.25,0,0.00001,3,6,6,3,1
12284,1,1,0.5,1.1,10,0,50000,0.1,10,0.25,0,0.00001,3,6,6,3,1
14310,1,-1,1,10000000,0,0,30000,0.1,10,0,0,0.00001,1,9,6,3,2
58589,1,1,0.4,40000000,6,1,900,0.05,900,0.25,0,0.00001,1,6,2,3,2
144514,1,0,0.7,16000000,0,0,30000,0.1,10,0,0,0.00001,1,6,6,3,4
30212,2,1,0.5,11000000,10,0,40000,0.1,10,0,0,0.00001,1,6,6,3,3
1461,1,1,0.85,563668133,0,1,3,0.3,1,0,0,0.00001,1,6,6,3,20
1,2,1,0.42,7302698,15,0,1000000,0.1,10,0.1905,0,0.0000001,1,6,6,3,3
29270,1,1,0.8,1.8,14,0,50000,0.1,10,0.25,0,0.00001,1,6,6,3,1
27818,2,1,0.8,1.8,6,0,50000,0.1,10,0.25,0,0.00001,3,6,6,3,1
68875,1,1,0.8,1.8,-4,0,50000,0.1,10,0.25,0,0.00001,3,6,6,3,1
1205,1,1,0.3,6.8,12,0,50000,0.1,10,0.25,0,0.00001,3,6,6,3,1
14,1,1,1.3,130000000,1,1,600,0.001,600,0.25,0,0.00001,0.1,6,2,3,5
5741,1,0,0.01,2000,0,0,10000,0.1,10,0,0,0.00001,1,6,6,3,1
39610,1,1,0.3,6.8,4,0,75000,0.1,10,0.25,0,0.00001,3,6,6,3,1
1,2,1,0.85,1000000,0,0,10000,0.1,10,0,0,0.00001,1,6,6,3,2
1177,1,1,0.8,1.8,0,0,45000,0.1,10,0.25,0,0.00001,3,6,6,3,1
10138,1,1,0.8,2466741,0,0,20000,0.1,10,0,0,0.00001,1,6,6,3,3
2,2,-1,1,1000000,0,0,10000,0.1,10,0,0,0.0000001,0.1,6,6,3,2
1441,1,1,0.5,1.1,-6,0,50000,0.1,10,0.25,0,0.00001,3,6,6,3,1
748,1,1,0.5,1.1,10,0,50000,0.1,10,0.25,0,0.00001,3,6,6,3,1
11700,1,-1,0.00288078,629385,0,0,10000,0.1,10,0,0,0.00001,1,6,6,3,20
512,1,-1,0.85,1000000,0,0,3000,0.1,10,0,0,0.00001,1,6,4,3,1
21374,1,1,0.8,18000000,4,0,30000,0.1,10,-0.25,0,0.00001,3,6,6,3,1
2,2,1,0.8,19145492,-6,0,50000,0.1,10,0.25,0,0.00001,3,6,6,3,1
7681,1,1,0.05,500000,0,0,10000,0.1,10,0,0,0.00001,1,6,6,3,1
28418,1,1,0.8,1.8,14,0,20000,0.1,10,0,0,0.00001,3,6,6,3,1
4,1,-1,2,1000000,5,0,10000,0.1,10,0,0,0.00001,0.8,8,4,3,2
31155,1,1,0.5,1.1,-2,0,50000,0.1,10,0.25,0,0.00001,3,6,6,3,1
2314,1,1,0.5,1.1,0,0,50000,0.1,500,0.25,0,0.0001,3,6,6,3,1
21238,1,1,0.8,18000000,0,0,30000,0.1,10,-0.25,0,0.00001,3,6,6,3,1
23943,1,1,0.5,11000000,6,0,25000,0.1,10,0,0,0.00001,1,6,6,3,3
78039,1,1,0.3,6.8,14,0,55000,0.1,10,0.25,0,0.00001,3,6,6,3,1
8350,1,1,0.38,7005197,0,0,50000,0.1,5000,0.25,0,0.00001,1,6,6,3,3
2,2,1,0.3,6.8,4,0,50000,0.1,10,0.25,0,0.00001,1,6,6,3,1
