runtime,Flow_Type,Reynolds_Number,AOA,Steadiness,Total_Iteration,Physical_Time_Step,Write_File_Interval,Xpc,Ypc,TOL,CFL,Time_Integration,Turbulent_Model
3523,1,6000000,0,0,30000,0.1,500,0,0,0.000001,1,3,2
440,1,86711358.23,0,0,200000,0.1,500,0,0,0.000001,1,3,2
26630,1,5000000,12,0,30000,0.1,10,0,0,0.0001,1,3,2
46092,1,3000000,-3,0,20000,0.1,10,0.25,0,0.0001,1,3,2
6339,1,100000,-2,0,10000,0.1,500,-0.25,0,0.0001,3,3,2
1252,1,5000000,18,0,10000,0.1,500,0,0,0.0001,1,3,2
825,1,6000000,0,0,30000,0.1,1000,0,0,0.000001,1,3,2
6059,1,5000000,15,0,10000,0.1,500,-0.25,0,0.0001,1,3,2
847,1,933333.3333,0,0,200000,0.1,500,0,0,0.000001,1,3,2
251538,1,1060000,0,1,1000,0.01,10,0,0,0.0001,0.1,3,3
106643,1,6000000,18,1,10000,0.1,500,0,0,0.001,1,3,2
725,1,4,0,0,20000,0.1,500,0,0,0.000001,1,3,2
71652,0,1000000,-6,0,100000,0.1,10,0,0,0.00001,1,3,2
5882,1,5000000,26,0,10000,0.1,500,0,0,0.0001,0.5,3,2
4740,0,500000,-3,0,10000,0.1,500,0,0,0.0001,1.5,3,2
2830,1,100000,0,0,15000,0.1,10,0,0,0.0001,1,3,2
992,1,1,0,0,20000,0.1,500,0,0,0.000001,1,3,2
273,1,1000000,0,0,1500,0.1,10,0,0,0.0001,1,3,8
45838,1,3000000,20,0,20000,0.1,10,0.25,0,0.0001,1,3,2
178,1,5000000,15,0,10000,0.1,500,0,0,0.0001,3,3,2
992,1,5000000,26,0,10000,0.1,500,0,0,0.0001,3,3,2
1,0,10000,0,0,1500,0.1,500,0,0,0.0001,1,3,1
179,1,7.2,4,0,50000,0.25,500,0,0,0.0001,3,3,2
264,1,5000000,10,0,10000,0.1,500,0,0,0.0001,3,3,2
6180,1,150000,0,0,50000,0.1,500,0,0,0.00001,0.5,3,2
305,1,100000,15,0,20000,0.1,500,0,0,0.0001,1,3,2
2567,1,400000,2,0,60000,0.1,10000,0,0,0.0001,0.2,3,2
654,1,5000000,-5,0,10000,0.1,500,0,0,0.0001,3,3,2
1736,1,5000000,15,0,50000,0.1,500,0,0,0.0001,1,3,2
225,1,5000000,20,0,30000,0.1,500,0,0,0.0001,1,3,2
806,1,30000,0,0,100000,0.1,500,0,0,0.0001,1,3,2
57751,1,172026.9606,7.286803114,1,1000,0.04,500,0,0,0.000001,0.3,3,2
1151,1,5000000,3,0,50000,0.1,500,0,0,0.0001,1,3,2
2238,1,9424800,2,0,100000,0.1,500,0.25,0,0.0000001,1,3,2
785,1,6800000,18,0,10000,0.1,500,0.25,0,0.0001,1,3,2
1377,1,10000000,0,0,20000,0.1,500,0,0,0.0001,1,3,2
724,1,100000,25,0,20000,0.1,500,0,0,0.000001,1,3,2
1105,1,1000000,0,0,20000,0.1,500,0,0,0.000001,1,3,2
4564,1,5000000,30,0,20000,0.1,500,0,0,0.0001,1.5,3,2
3059,1,26,0,0,50000,0.1,500,0,0,0.000001,1,3,2
10687,1,140,0,0,10000,0.1,10,0,0,0.0001,1,3,2
31,1,4.5,0,0,100,0.1,500,0.25,0,0.0001,3,3,2
865,1,5000000,-7,0,10000,0.1,500,0,0,0.0001,1,3,2
4897,1,100000,-3,0,10000,0.1,500,-0.25,0,0.0001,3,3,2
2346,1,10,0,0,50000,0.1,500,0,0,0.000001,1,3,2
19537,1,2250000,0,0,20000,0.1,10,0.25,0,0.0001,1,3,2
5187,1,5000000,9,0,30000,0.1,500,0,0,0.0001,1,3,2
525,1,4.5,-6,0,50000,0.1,500,0.25,0,0.0001,3,3,2
558,1,5000000,-3,0,10000,0.1,500,0.25,0,0.0001,3,3,2
164,1,1000,0,0,30000,0.1,500,0,0,0.0001,1,3,2
1525,-1,0.5,0,0,30000,0.1,500,0,0,0.0001,1,3,2
4,1,30000,0,0,10000,0.1,500,0,0,0.0001,1,3,2
5805,1,400000,22,0,60000,0.1,500,0,0,0.0001,1,3,2
329,1,5000000,6,0,10000,0.1,500,0,0,0.0001,3,3,2
2620,-1,100000,0,0,30000,0.1,10,0,0,0.0001,1,3,2
401,1,5000000,1,0,10000,0.1,500,0,0,0.0001,3,3,2
6396,0,50000,-15,0,10000,0.1,500,0,0,0.0001,1.5,3,2
3053,1,5000000,6,0,25000,0.1,50,0,0,0.0001,1,3,2
1459,1,4677843,18,0,500000,0.1,500,-0.25,0,0.0001,1,3,2
2747,0,400000,5,0,40000,0.1,500,0,0,0.0001,1,3,2
916,1,5000000,0,0,50000,0.1,500,0,0,0.0001,1,3,2
12,1,5000000,2,0,10000,0.1,500,0,0,0.0001,3,3,2
549008,1,4000000,0,0,80000,0.1,10,0,0,0.0001,1,3,2
1824,1,1000000,10,0,100000,0.1,500,0.5,0,0.000001,1,3,2
198327,1,1000000,90,1,1000,0.1,500,0,0,0.000001,1,3,2
3138,1,100000,8,0,100000,0.1,500,0.5,0,0.000001,1,3,2
398,1,4.5,10,0,50000,0.1,500,-0.25,0,0.0001,3,3,2
376,1,100000,10,0,30000,0.1,500,0,0,0.0001,1,3,2
19705,1,400000,12,1,5000,0.01,1000,0,0,0.0001,1,3,2
727,1,100000,6,0,20000,0.1,500,0,0,0.000001,1,3,2
1533,1,400000,5,0,20000,0.05,500,0,0,0.0001,1,3,2
45284,1,3000000,-13,0,20000,0.1,10,0.25,0,0.0001,1,3,2
172,1,6.8,2,0,50000,0.1,500,0.25,0,0.00001,3,3,2
126,0,20,0,0,10000,0.1,500,0,0,0.000001,3,3,2
19875,1,5000000,16,0,10000,0.1,10,0,0,0.00001,1,3,2
353,0,1,0,0,50000,0.1,500,0,0,0.000001,0.5,3,2
5577,1,5000000,20,0,30000,0.1,500,0,0,0.0001,1,3,2
188,1,5000000,9,0,10000,0.1,500,0,0,0.0001,3,3,2
2,-1,1000,0,0,50000,0.1,500,0,0,0.000001,1,3,2
11621,0,1500,0,0,250000,0.1,500,0,0,0.00001,0.5,3,2
527,1,5000000,9,0,10000,0.1,500,0,0,0.0001,3,3,2
6129,1,5000000,2,0,10000,0.1,500,-0.25,0,0.0001,3,3,2
433,0,1353591,0,0,10000,0.1,500,0,0,0.0001,1,3,2
24204,1,100000,0,0,10000,0.1,10,0,0,0.0001,0.1,3,2
247439,0,50000,6,1,3000,0.0001,500,0.25,0,0.0001,0.1,3,2
384,1,100000,5,0,30000,0.1,500,0,0,0.0001,1,3,2
854,1,5000000,20,0,10000,0.1,500,0,0,0.0001,1,3,2
616,1,5000000,-2,0,10000,0.1,500,0,0,0.0001,3,3,2
2002,1,500000,6,0,100000,0.1,500,0.5,0,0.000001,1,3,2
845,0,1,0,0,20000,0.1,500,0,0,0.000001,1,3,2
948,-1,112,0,0,20000,0.1,500,0,0,0.0001,1,3,2
20602,0,1900,0,0,250000,0.1,500,0,0,0.00001,0.5,3,2
498912,1,100000,19,1,10000,0.1,500,0,0,0.001,1,3,2
315,-1,400000,9,0,40000,0.1,500,0,0,0.00001,3,3,2
1940,1,9.6,0,0,30000,0.1,500,0,0,0.0001,1,3,2
1699,0,400000,4,0,5000,0.1,10,0,0,0.0001,8,3,2
1290,1,0.5,0,0,30000,0.1,500,0,0,0.000001,1,3,2
7540,1,5000000,17,0,10000,0.1,500,0,0,0.0001,0.5,3,2
9889,1,400000,5,1,100,0.001,500,0,0,0.0001,1,3,2
49875,0,466100.5642,26.53380462,1,1000,0.04,500,0,0,0.000001,0.3,3,2
11,1,5000000,1,0,10000,0.1,500,0,0,0.0005,3,3,2
41118,0,90000,0,0,1000000,0.1,500,0,0,0.0000001,1,3,2
499036,1,1000000,3,1,600,0.05,600,0.25,0,0.0001,0.1,3,2
254942,1,2520000,0,0,50000,0.1,10,0,0,0.000001,0.1,3,2
1263,1,7100000,9,0,50000,0.1,500,0.25,0,0.0001,1,3,3
6374,1,5000000,20,0,10000,0.1,500,-0.25,0,0.0001,1,3,2
2950,1,5000000,4,0,25000,0.1,50,0,0,0.0001,1,3,2
2736,1,100000,0,0,10000,0.1,10,0,0,0.0001,1,3,2
1057,1,5000000,5,0,50000,0.1,500,0,0,0.0001,1,3,2
