runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19
449,A06,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
346,A05,0.0034,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
34786,A01,0.0588,40166,0.0000001,50000,30,1,1,8,0,5,10,15,20,25,30,35,0,0
16881,A04,0.45,450000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
232,A09,0.11,2400,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
111,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
453,A04,0.2,3000000,0.000001,3000,3,1,1,1,16,0,0,0,0,0,0,0,0,0
266,A06,0.2,3000000,0.000001,3000,30,1,3,2,15,18,0,0,0,0,0,0,0,0
187,A04,0.2,3000000,0.000001,3000,3,1,1,1,12,0,0,0,0,0,0,0,0,0
22951,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,5,6,7,8,9,10
1949,A04,0.2,3000000,0.000001,10000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
485,A06,0.2,3000000,0.000001,3000,3,1,1,1,2,0,0,0,0,0,0,0,0,0
125,A04,0.2,3000000,0.000001,3000,3,1,1,1,16,0,0,0,0,0,0,0,0,0
137,A12,0.28,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
10447,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1326,A06,0.2,3000000,0.000001,3000,30,1,3,10,18,18.1,18.2,18.3,18.4,18.5,18.6,18.7,18.8,18.9
154,A12,0.38,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
24436,A04,0.2,3000000,0.000001,30000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
123,A04,0.2,3000000,0.000001,3000,3,1,1,1,8,0,0,0,0,0,0,0,0,0
46829,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
