runtime,Airfoil,Mach_Number,Reynolds_Number,TOL,Total_Iteration,IVISC,CFL_Number
12769,A08,0.2,3000000,0.000001,3000,3,1
13737,A02,0.0206,500000,0.000001,3000,3,1
10858,A05,0.03,500000,0.0001,3000,3,4
118259,A01,0.02353,500000,0.00001,1000000,30,1
216494,A04,0.02353,500000,0.000001,1000000,3,1
60716,A01,0.02353,500000,0.0001,500000,30,1
5415,A04,0.3,3000000,0.000001,3000,3,1
6281,A10,0.02,500000,0.000001,3000,3,1
130729,A01,0.02765,500000,0.00001,1000000,30,1
107258,A04,0.02353,500000,0.000001,1000000,3,8
33,A04,1,5000000,0.000001,3000,3,1
9994,A05,0.02,500000,0.0001,3000,3,4
9848,A03,0.02,500000,0.0001,3000,3,4
18156,A04,0.03,128205,0.001,1000,3,1
14376,A01,0.0206,500000,0.000001,3000,3,1
16952,A12,0.2,3000000,0.000001,3000,3,1
4020,A01,0.02353,500000,0.0001,50000,3,8
10168,A02,0.03,500000,0.0001,3000,3,4
7210,A12,0.02057,500000,0.000001,3000,30,4
31187,A02,0.02,500000,0.000001,3000,3,1
9331,A12,0.03,500000,0.0001,3000,3,4
5307,A01,0.02057,500000,0.000001,3000,30,4
9352,A12,0.02,500000,0.0001,3000,3,4
7703,A04,0.2,3000000,0.000001,3000,30,0.1
22342,A04,0.03,1323539,0.001,1000,3,1
11521,A04,0.2,3000000,0.000001,3000,3,1
7250,A04,0.02353,500000,0.000001,3000,3,1
13927,A04,0.0206,500000,0.000001,3000,3,1
23225,A04,0.3,5000000,0.000001,3000,3,1
6291,A04,0.2,3000000,0.000001,3000,3,1
6332,A11,0.02,500000,0.000001,3000,3,1
9131,A03,0.2,3000000,0.000001,3000,3,1
10022,A07,0.03,500000,0.0001,3000,3,4
5484,A01,0.0235,544217,0.000001,3000,3,1
14197,A12,0.0206,500000,0.000001,3000,3,1
12979,A12,0.2,3000000,0.000001,3000,3,1
5902,A06,0.2,3000000,0.000001,3000,3,1
5172,A08,0.03,500000,0.01,1000,3,1
30969,A12,0.03,500000,0.000001,3000,3,1
11234,A08,0.2,2000000,0.000001,3000,3,1
31225,A04,0.02,500000,0.000001,3000,3,1
10108,A08,0.03,500000,0.0001,3000,3,4
1992,A06,0.2,300000,0.000001,500,30,1
