runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in20,in21
63,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,LDA,1,1,1,0,0,0,FALSE
2,Optimization,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
93,Singlepoint,XYZ,1,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,1,1,1,0,0,0,FALSE
902,MD,XYZ,5.9216781,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,16,16,16,0,0,0,TRUE
3182,MD,XYZ,1,7,16.1211,9.3075,0,-16.1211,9.3075,0,0,0,24.2195,GGA,3,3,1,0,0,0,FALSE
2,MD,FDF,1,1,3.10907,0,0,-1.55453,2.692533,0,0,0,20,GGA,1,1,1,0,0,0,FALSE
1063,Optimization,FDF,1,4,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,4,4,1,0,0,0,TRUE
189,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
30,Optimization,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
32,Singlepoint,XYZ,1,1,34.59512,0,0,0,34.59512,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
12,MD,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
3096,MD,XYZ,1,7,17.26,9.96,0,-17.26,9.96,0,0,0,24.22,GGA,3,3,1,0,0,0,FALSE
50,MD,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
401,Optimization,XYZ,0.97,7,3.795977831,0,0,-1.897523146,3.28865105,0,-1.112055692,-0.578241628,20.66234697,GGA,6,6,1,0,0,0,FALSE
1,Singlepoint,XYZ,1,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,1,1,1,0,0,0,FALSE
75,Singlepoint,XYZ,1,1,27.21659,0,0,0,27.21659,0,0,0,4.26,LDA,1,1,1,0,0,0,FALSE
67,Optimization,XYZ,1,7,3.797250509,0,0,-1.89851319,3.290561265,0,-0.36823028,-0.192449284,6.896388932,GGA,4,4,1,0,0,0,FALSE
6,Optimization,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,1,1,1,0,0,0,TRUE
49,MD,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
371,Optimization,XYZ,1,7,3.911168025,0,0,-1.955468585,3.389278103,0,-0.379277188,-0.198222762,6.896388932,GGA,4,4,1,0,0,0,FALSE
3879,Optimization,CONT,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
1165,Optimization,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,8,5,25,0,0,0,TRUE
159,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
120528,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,200,200,4,0,0,0,TRUE
4530,MD,XYZ,4.26,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,96,40,26,0,0,0,TRUE
1884,MD,XYZ,1,7,16.1211,9.3075,0,-16.1211,9.3075,0,0,0,24.2195,GGA,3,3,1,0,0,0,FALSE
