runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10
17,5,1.5,0.5,70,400,PO,7,12,No,Yes
19,5,1.5,0.5,70,400,PO,7,12,No,Yes
24,5,1.5,0.5,70,400,PO,6,12,No,Yes
40,5,1.5,0.1,70,800,PO,1,240,No,Yes
18,2,0.5,0.5,70,50,PO,10,8,No,Yes
25,1,0.5,0.5,70,50,PO,10,8,No,Yes
368,2,70,0.5,70,500,PO,10,8,No,Yes
19,5,1.5,0.5,70,400,PO,3,12,No,Yes
8,12,0.5,0.5,70,100,PO,1,0,No,Yes
24,5,1.5,0.5,70,400,PO,14,12,No,Yes
14,12,0.5,0.5,70,50,PO,1,24,No,Yes
25,5,1.5,0.5,70,400,PO,14,12,No,Yes
40,5,1.5,0.5,70,800,PO,7,24,No,Yes
21,5,1.5,0.5,70,800,PO,7,24,No,Yes
17,5,1.5,0.5,70,800,PO,3,24,No,Yes
23,5,1.5,0.5,70,800,PO,3,24,No,Yes
22,5,1.5,0.5,70,400,PO,14,12,No,Yes
13,5,1.5,0.03,70,800,PO,3,1,No,Yes
19,5,1.5,0.5,70,800,PO,7,24,No,Yes
23,5,1.5,0.5,70,400,PO,14,12,No,Yes
19,5,1.5,0.5,70,125,PO,4,6,No,Yes
58,5,1.5,0.5,70,800,PO,3,24,Yes,Yes
17,6,0.5,0.5,70,100,PO,1,24,No,Yes
20,5,1.5,0.5,70,400,PO,14,12,No,Yes
57,5,1.5,0.5,70,800,PO,7,24,No,Yes
23,5,1.5,0.5,70,800,PO,7,24,No,Yes
20,5,1.5,0.5,70,800,PO,7,24,No,Yes
23,5,1.5,0.5,70,800,PO,3,24,No,Yes
58,5,1.5,0.5,70,800,PO,7,24,No,Yes
21,5,1.5,0.5,70,400,PO,14,12,No,Yes
58,5,1.5,0.5,70,400,PO,14,12,No,Yes
94,5,1.5,0.5,70,800,PO,7,24,No,Yes
26,1,0.5,0.5,70,100,PO,18,8,No,Yes
414,5,1.5,0.5,70,400,PO,7,12,No,Yes
