runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14
771,0,2000,1250,0.01,-366,-330,-360,-330,50,80,50,80,25,25
597,200,2000,1100,0.01,-360,-330,-360,-330,50,80,60,80,0,0
624,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,15,0
645,0,2000,1400,0.01,-360,-330,-360,-330,50,80,60,80,0,0
632,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
724,0,2000,1250,0.01,-384,-360,-360,-330,70,90,50,80,-30,-20
622,0,2000,900,0.01,-360,-330,-360,-330,50,80,60,80,0,0
629,0,2000,750,0.01,-360,-330,-360,-330,50,80,60,80,0,0
626,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,30,20
588,0,2000,1000,0.01,-360,-330,-360,-330,50,80,50,70,30,-30
724,0,2000,1250,0.01,-366,-330,-360,-330,50,80,60,90,40,30
609,0,2000,1250,0.01,-374,-350,-360,-330,50,70,50,80,20,30
709,0,2000,1250,0.01,-360,-324,-360,-330,50,80,40,70,20,20
619,0,2000,1250,0.01,-360,-330,-360,-330,300,500,360,500,15,0
652,0,2000,1250,0.01,-360,-330,-360,-330,50,75,60,90,60,0
613,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
732,0,2000,700,0.01,-360,-330,-360,-330,50,80,60,80,0,0
664,0,2000,1250,0.01,-360,-330,-360,-330,60,80,60,80,40,20
617,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
630,0,2000,1600,0.01,-360,-330,-360,-330,50,80,60,80,0,0
729,0,2000,1200,0.01,-360,-330,-354,-330,50,80,60,80,-20,-20
574,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
651,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,-20,0
701,0,2000,1100,0.01,-366,-330,-350,-330,50,80,60,80,11,-2
591,0,2000,1250,0.01,-374,-350,-360,-330,50,70,50,80,20,20
663,0,2000,500,0.01,-360,-330,-360,-330,50,80,60,80,0,0
676,0,2000,1250,0.01,-400,-376,-380,-340,60,80,40,80,50,10
640,0,2000,1200,0.01,-360,-330,-360,-330,50,80,60,80,15,10
605,0,2000,1250,0.01,-374,-350,-360,-330,50,70,50,80,5,5
671,0,2000,1250,0.01,-360,-330,-360,-330,80,60,80,60,0,0
623,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
625,0,2000,1250,0.01,-360,-330,-360,-330,50,80,70,100,0,0
815,0,2000,700,0.01,-360,-330,-360,-330,60,80,50,80,25,-25
687,0,2000,1200,0.01,-360,-330,-354,-330,50,80,60,80,-10,20
594,0,2000,900,0.01,-360,-324,-360,-340,50,80,50,70,20,0.515
606,0,2000,1250,0.01,-420,-300,-440,-400,50,60,50,55,0,0
603,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,100,-100
665,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,3,2
760,0,2000,1600,0.01,-360,-330,-360,-330,50,80,60,80,0,0
830,0,2000,1200,0.01,-360,-330,-360,-330,50,80,60,80,90,60
744,0,2000,1250,0.01,-366,-330,-360,-330,50,80,50,80,20,20
572,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
616,0,2000,850,0.01,-360,-330,-360,-330,55,80,60,80,15,0
604,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
658,0,2000,1000,0.01,-366,-330,-360,-340,50,80,60,80,0,15
600,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
657,0,2000,800,0.01,-360,-330,-360,-330,50,80,60,80,0,0
629,0,2000,1250,0.01,0,100,50,120,30,70,80,120,0,0
607,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
720,0,2000,900,0.01,12,10,13,12,10,7.23,13,10,0,0
758,0,2000,2000,0.01,-360,-330,-360,-330,50,80,60,80,0,0
877,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,70,0,0
667,0,2000,1250,0.01,-374,-350,-360,-330,50,70,50,80,22,20
631,0,2000,1100,0.01,-360,-330,-360,-330,55,80,50,80,10,-10
653,0,2000,800,0.01,-360,-330,-360,-330,55,80,60,80,50,0
635,0,2000,500,0.01,-360,-330,-360,-330,50,80,50,70,0,0
596,0,2000,15000,0.01,-360,-330,-360,-330,50,80,60,80,0,0
592,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,-20
717,0,2000,750,0.01,-360,-330,-360,-330,50,80,60,80,-20,0
702,0,2000,750,0.01,-360,-330,-360,-330,50,80,60,80,0,0
