runtime,in01,in02,in03,in04,in05
46,150,100,4,0,0
218954,3000,50,-8.8633,-1.5628,0
91124,2000,50,-2.970804,0,0.417519
26519,1000,50,-4.987820251,0.348782369,0
67113,1500,50,-4.987820251,0.348782369,0
69017,1000,50,-5.9088,0,-1.0416
66797,3000,50,-2,0,0
91695,1500,50,-4.962730758,0,-0.609346717
25869,1000,50,-5,0,0
55606,1500,50,-4.962730758,0,0.609346717
22958,1000,50,-8,0,0
1,1000,50,-1.997,0,0.105
48416,2000,20,-8,0,0
35182,1000,50,-4.951340344,-0.695865505,0
20510,1000,50,-1,0,0
56125,2500,50,-3,-0.529,0
183140,1500,50,-0.996,-0.087,0
44685,1000,50,-7.999,0,0.14
224204,1500,50,-1,1,0
36599,1000,50,-2.99,0,0.1046
28797,1000,50,-1,0,0
105252,1500,50,-2.995889,0,-0.157008
43385,1500,50,-0.9848,0,0.1736
4981,2000,50,-2.954423,-0.520945,0
187,1000,50,-2,0,0
54378,2000,50,-2.983565686,0,0.31358539
28748,1000,50,-4.951340344,-0.695865505,0
26533,1000,50,-8,0,0
43746,750,150,-2.819077862,0,1.02606043
46527,2000,50,-10,0,0
65136,1500,50,-4.972609477,0,-0.522642316
78617,1500,50,-0.9848,0,-0.1736
16866,1000,50,-0.9993,0.0348,0
292974,3000,50,-0.9848,0,-0.1736
45625,2000,20,-0.98481,0.173648,0
83031,3000,50,-8.8633,1.5628,0
22799,1000,50,-1,0,0
24837,3000,50,-1,0,0
33782,1000,50,-7,0,0
24544,1500,50,-4.9627,0,-0.60935
171550,2500,50,-2.971,0,0.418
28044,1200,120,-6.893654271,1.215537244,0
136832,2000,50,-3,0,0
15201,400,100,-2,0,0
4545,150,100,4,0,0
25209,1000,50,-8,0,0
5776,150,100,4,0,0
25382,1000,50,-8,0,0
4,1500,50,-2.983566,0,-0.313585
20602,800,80,-2.988584094,0,0.261467228
20993,3000,50,-1,0,0
141820,1000,50,-4.957,0.6526,0
80742,2500,50,-2.984,0,-0.314
29290,1000,25,-4.924038765,0.868240888,0
62093,1500,50,-2,0,0
22765,1000,25,-9,0,0
103594,2000,400,-5,0,0
78639,4000,80,-1,0,0
103228,2500,50,-2.971,0,-0.418
76267,2000,50,-2.992692151,-0.209269421,0
15433,1000,50,-4,0,0
58585,1000,50,-2,0,0
15918,1000,50,-7,0,0
