runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16
8,100000,0,tn2006,V241F,3,0.05,30,120,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
115,40000,0,tn2006,V241F,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
68,100000,0,tn2006,ori,1,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
41,100000,0,tn2006,ori,3,0.1,30,4000,30,88000010,600,0.1,-73,-10,1.8,current
8,100000,0,tn2006,ori,1,0.05,30,255,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,V241F,1,0.05,30,260,30,1000,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
39,100000,0,tn2006,ori,3,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
50,100000,0,tn2006,ori,1,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,2,0.05,30,310,30,400,600,0.1,-73,-10,1.8,current
188,100000,0,tn2006,ori,2,0.1,30,4000,30,88000010,600,0.1,-73,-10,1.8,current
117,40000,0,tn2006,V241F,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,260,30,88000010,600,0.1,-73,-10,1.8,current
7,100000,0,tn2006,ori,2,0.05,30,320,30,88000010,600,0.1,-73,-10,1.8,current
6,40000,0,tn2006,ori,2,0.05,30,320,20,10000,600,0.1,-73,-10,1.8,current
120,100000,0,tn2006,ori,1,0.1,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
8,100000,0,tn2006,ori,2,0.05,30,20,30,100,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,ori,2,0.05,30,320,30,10000,600,0.1,-73,-10,1.8,current
7,100000,0,tn2006,V241F,2,0.05,30,138,30,88000010,600,0.1,-73,-10,1.8,current
21,100000,0,tn2006,ori,1,0.05,30,260,20,100,600,0.1,-73,-10,1.8,current
54,100000,0,tn2006,G229D,1,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,3,0.05,30,220,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,N588K,1,0.05,30,125,30,88000010,600,0.1,-73,-10,1.8,current
38,100000,0,tn2006,ori,2,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,V241F,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,S140G,3,0.05,30,220,30,88000010,600,0.1,-73,-10,1.8,current
3,100000,0,tn2006,ori,1,0.05,30,260,20,1000,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,3,0.05,30,170,20,10000,600,0.1,-73,-10,1.8,current
3,40000,0,tn2006,N588K,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,3,0.05,30,240,30,1000,600,0.1,-73,-10,1.8,current
