runtime,in01,in02,in03,in04,in05,in06,in07
266,48.3701,1,1,0.0015,0,1,0
359,49.4,1.5000001,0.8,0.0015,0.01,1,0
3,145.4,1.5,0.8,0.0015,0,1,0
246,23.09401077,1.5,0.8,0.0015,0,1,0
225,48.367983,1.5,0.8,0.0015,0,1,0
255,40,1.5,0.8,0.0015,0.001,1,0
274,48.03,1.5,0.8,0.0015,0.001,1,0
260,96.735,1.5,0.8,0.0015,0,1,0
220,43.1,1.5,0.8,0.0015,0.001,1,0
3,46,1.5,0.8,0.0015,0,1,0
267,150,1.5,0.8,0.0015,0,1,0
250,7.66,1.5,0.8,0.0015,0,1,0
242,48,1.5,0.8,0.0015,0,1,0
257,45.26315789,1.5,0.8,0.0015,0,1,0
338,46.1,1.5,0.8,0.0015,0.001,1,0
272,99.5,1.5,0.8,0.0015,0,1,0
240,189.4736842,1.5,0.8,0.0015,0.001,1,0
234,48.346,1.5,0.8,0.0015,0.001,1,0
245,24.1,1.5,0.4,0.0015,0,1,0
5,48.4,1.5,0.8,0.0015,0.001,1,0
288,64.08947368,1.5,0.8,0.0015,0.001,1,0
240,129,1.5,0.8,0.0015,0,1,0
240,97.1,1.5,0.8,0.0015,0,0.3,0
290,49,1.5,0.8,0.0015,0.005,1,0
348,48.93455,1.5,0.8,0.0015,0.001,1,0
260,144,1.5,0.8,0.0015,0.001,1,0
235,68,1.5,0.8,0.0015,0.001,1,0
248,40,1.5,0.8,0.0015,0.001,1,0
267,48.7,1.5,0.8,0.0015,0.001,1,0
216,48.3,1.5,0.8,0.0015,0.001,1,0
325,48.5,1.5,0.8,0.0015,0.001,0.01,0
360,139.4736842,1.5,0.8,0.0015,0.0005,1,0
235,48.267,1,1,0.0015,0.001,1,0
5,47.5,1.5,0.8,0.0015,0.002,1,0
234,65,1.5,0.8,0.0015,0.001,1,0
904,48.36798305,1,1,0.0015,0.001,1,0
400,50,1.5,1,0.0015,0,1,0
217,36.65,1.5,0.8,0.0015,0.002,1,0
251,144.3,1,1,0.0015,0,1,0
238,30,1.5,0.8,0.0015,0.001,1,0
262,48.05,1.5,0.8,0.0015,0.005,1,0
