runtime,in01,in02
123,-0.5,4.15
86,-0.5,8.5
49,-0.5,3
54,-0.5,4.49
64,-0.5,2
37,-0.5,2
52,-0.5,3
66,-0.5,8
75,-0.5,4.4
60,-0.5,9
95,-0.5,4
47,-0.5,4.4
89,-0.5,9
82,-0.5,4.1
79,-0.5,4.09
117,-0.5,10
66,-0.5,4.2
72,-0.5,6
63,-0.5,4.5
48,-0.5,4.01
70,-0.5,4.05
52,-0.5,4.25
55,-0.5,4
49,-0.5,4.11503
69,-0.5,10
93,-0.5,8
94,-0.5,8.8
50,-0.5,4.1
39,-0.5,4.188
87,-0.5,8
64,-0.5,2.8
6,-0.5,1
38,-0.5,2
69,-0.5,7
56,-0.5,4.09
56,-0.5,3.9
61,-0.5,4.1173
49,-0.5,4.7
82,-0.5,8
44,-0.5,4.113
47,-0.5,4.11758
140,-0.5,8
81,-0.5,8
52,-0.5,4.13365
51,-0.5,3
49,-0.5,4.113617435
72,-0.5,4.048934
53,-0.5,2.08
61,-0.5,4.5
62,-0.5,4.11356506
61,-0.5,6
50,-0.5,2.5
70,-0.5,8.5
70,-0.5,8
54,-0.5,4
49,-0.5,4.105
71,-0.5,4.115
73,-0.5,6.5
45,-0.5,2.5
67,-0.5,4.6
45,-0.5,3.9
57,-0.5,4.18
46,-0.5,4.2
139,-0.5,8
66,-0.5,5
75,-0.5,3
82,-0.5,10
58,-0.5,4.15
59,-0.5,7
46,-0.5,4.18
54,-0.5,4.1
54,-0.5,4.13
56,-0.5,5
50,-0.5,3
74,-0.5,6.5
74,-0.5,10
51,-0.5,3.96
72,-0.5,4.2
44,-0.5,3
42,-0.5,2
63,-0.5,4.11361748
56,-0.5,4.15
43,-0.5,4.12
43,-0.5,4.111
112,-0.5,4.112
61,-0.5,5.5
47,-0.5,4.3
51,-0.5,4.1174
67,-0.5,4.2
42,-0.5,3
47,-0.5,5
42,-0.5,5
42,-0.5,4.12
66,-0.5,5.5
47,-0.5,3
80,-0.5,8
62,-0.5,4.15
107,-0.5,7
45,-0.5,4.05
97,-0.5,7
62,-0.5,3.8
126,-0.5,9.4
42,-0.5,2
55,-0.5,4.13
68,-0.5,7
59,-0.5,4.113617435
44,-0.5,2
47,-0.5,4.12
49,-0.5,4
67,-0.5,4.12
63,-0.5,6
58,-0.5,4
84,-0.5,6.5
70,-0.5,8
48,-0.5,4
53,-0.5,4.089
51,-0.5,3.921
33,-0.5,2.33
104,-0.5,10
74,-0.5,8
54,-0.5,4.11129
60,-0.5,4.11139
54,-0.5,7
56,-0.5,5.5
38,-0.5,2
52,-0.5,3
74,-0.5,9.5
60,-0.5,4.18
59,-0.5,4.8
45,-0.5,3
55,-0.5,4.11136
65,-0.5,8
50,-0.5,3
59,-0.5,4
46,-0.5,4.7
80,-0.5,9
65,-0.5,5
76,-0.5,7.5
50,-0.5,3.5
73,-0.5,9
55,-0.5,3
74,-0.5,10
67,-0.5,4.2
74,-0.5,4.2
53,-0.5,4.115
55,-0.5,4.1175
66,-0.5,4.11
64,-0.5,4
56,-0.5,4.1135656
71,-0.5,4.09
60,-0.5,4.1126
134,-0.5,9.5
48,-0.5,5
53,-0.5,4
51,-0.5,4.15
50,-0.5,4.11
77,-0.5,4.11361733
46,-0.5,3
42,-0.5,4.19
64,-0.5,4.112
79,-0.5,10
49,-0.5,4
71,-0.5,2.5
87,-0.5,10
61,-0.5,4.13
46,-0.5,3.5
63,-0.5,4.0850105
45,-0.5,6
111,-0.5,2
56,-0.5,3.5
47,-0.5,5
46,-0.5,4.114
59,-0.5,4.14813
49,-0.5,5
46,-0.5,4.13
52,-0.5,4.85
45,-0.5,4.113615
60,-0.5,4.145
48,-0.5,4.1
53,-0.5,4.11755
72,-0.5,7.5
90,-0.5,10
52,-0.5,5
88,-0.5,2.5
68,-0.5,8
74,-0.5,4.11
48,-0.5,4.7
50,-0.5,3.5
111,-0.5,8
64,-0.5,4.085
60,-0.5,3
59,-0.5,5.5
65,-0.5,4
47,-0.5,3
48,-0.5,4.5
74,-0.5,2
52,-0.5,3.5
42,-0.5,4.3
57,-0.5,3
45,-0.5,4.0850125
52,-0.5,5
78,-0.5,9.5
36,-0.5,2.58
65,-0.5,7
71,-0.5,5
59,-0.5,4.11706
81,-0.5,4.134
63,-0.5,6.5
3395,-0.5,3
41,-0.5,2
86,-0.5,9.5
6,-0.5,0.2
52,-0.5,7
44,-0.5,4.3
65,-0.5,7
134,-0.5,10
54,-0.5,4.113895
52,-0.5,4.2
62,-0.5,4.11
53,-0.5,4.113617435
108,-0.5,4.11
129,-0.5,10
60,-0.5,7
52,-0.5,4.5
56,-0.5,4.11763
63,-0.5,3.2
57,-0.5,4.6
62,-0.5,5
51,-0.5,2.5
51,-0.5,4.1
60,-0.5,4.114
26,-0.5,1.7
62,-0.5,5
53,-0.5,4.13
76,-0.5,8.5
88,-0.5,6.2
60,-0.5,4.9
55,-0.5,5
42,-0.5,3.9
44,-0.5,2.2
42,-0.5,3.85
48,-0.5,4
71,-0.5,4.147
51,-0.5,3.6
49,-0.5,2
43,-0.5,3
69,-0.5,10
65,-0.5,7
63,-0.5,5.2
53,-0.5,4.5
83,-0.5,4
48,-0.5,4
62,-0.5,4.95
65,-0.5,4.1
49,-0.5,4.15
37,-0.5,2.2
71,-0.5,5.2
77,-0.5,9
62,-0.5,9.8
48,-0.5,3
50,-0.5,4.1121
41,-0.5,3
107,-0.5,8.5
51,-0.5,4.148
52,-0.5,4.11068
72,-0.5,4.2
72,-0.5,4
48,-0.5,4.15
61,-0.5,4.7
55,-0.5,4.13363
72,-0.5,6
70,-0.5,6
44,-0.5,4.12
62,-0.5,7
96,-0.5,6.2
55,-0.5,8.5
53,-0.5,6
64,-0.5,7
71,-0.5,4.2
88,-0.5,6
69,-0.5,7.1
94,-0.5,8
56,-0.5,3.9
61,-0.5,4.1205
70,-0.5,4.3
82,-0.5,10
54,-0.5,4.123
64,-0.5,2
59,-0.5,4.11359
41,-0.5,3
59,-0.5,6.5
59,-0.5,4.14
53,-0.5,4.1
70,-0.5,8
49,-0.5,5
70,-0.5,4.1135
81,-0.5,4.104
48,-0.5,4.1
44,-0.5,2.8
46,-0.5,2
51,-0.5,4.13
63,-0.5,4.113617435
66,-0.5,9
44,-0.5,4.3
50,-0.5,4.114
55,-0.5,4.2
53,-0.5,2
78,-0.5,4.128524
55,-0.5,4.5
54,-0.5,4.125
73,-0.5,4.11
84,-0.5,4.135
56,-0.5,4
71,-0.5,4.7
53,-0.5,4
74,-0.5,9
77,-0.5,6
45,-0.5,3.8
43,-0.5,3
65,-0.5,6
52,-0.5,6
67,-0.5,8
47,-0.5,4.119
69,-0.5,4.0850115
99,-0.5,6.5
58,-0.5,3
47,-0.5,3
57,-0.5,4.114
74,-0.5,4.5
89,-0.5,4.049
47,-0.5,3.97
160,-0.5,8
39,-0.5,2.34
51,-0.5,4.048933728
86,-0.5,4.5
50,-0.5,4.1142
49,-0.5,2
74,-0.5,10
98,-0.5,3
86,-0.5,5.6
37,-0.5,2.5
67,-0.5,4
74,-0.5,4.13
54,-0.5,4.109
52,-0.5,7
52,-0.5,4.07
52,-0.5,4.1
59,-0.5,4.1127
50,-0.5,4
69,-0.5,10
69,-0.5,8
128,-0.5,6
58,-0.5,6.4
93,-0.5,10
77,-0.5,5.5
72,-0.5,9.5
89,-0.5,4.14
84,-0.5,8
63,-0.5,6
67,-0.5,8
52,-0.5,7
58,-0.5,4.1
40,-0.5,2
53,-0.5,7
58,-0.5,4.115
46,-0.5,3
81,-0.5,10
46,-0.5,4.13
48,-0.5,4.12
46,-0.5,4.05
73,-0.5,5
64,-0.5,4
66,-0.5,4.2
69,-0.5,4.75
50,-0.5,3
96,-0.5,7
59,-0.5,4.1065
38,-0.5,4.3
59,-0.5,4.5
37,-0.5,2
61,-0.5,7
49,-0.5,3
62,-0.5,4.112
55,-0.5,4.132700653
45,-0.5,3.95
60,-0.5,2.3
50,-0.5,2
63,-0.5,3
59,-0.5,4.116
49,-0.5,4.112
60,-0.5,9
65,-0.5,7
48,-0.5,4
43,-0.5,2
69,-0.5,4.6
117,-0.5,9
72,-0.5,6
92,-0.5,9
92,-0.5,8
44,-0.5,2
42,-0.5,2
61,-0.5,4.5
48,-0.5,4.048933735
68,-0.5,2
66,-0.5,9
38,-0.5,2
53,-0.5,4.114
105,-0.5,8
59,-0.5,4.11732
11,-0.5,0.2
51,-0.5,4.089631
50,-0.5,3
61,-0.5,7
57,-0.5,5
73,-0.5,9
57,-0.5,4.12
58,-0.5,7
87,-0.5,4.112
60,-0.5,4.3
69,-0.5,8
59,-0.5,4
67,-0.5,8
3082,-0.5,8
58,-0.5,7
44,-0.5,4.1
62,-0.5,6
52,-0.5,4.3
43,-0.5,4.4
55,-0.5,4.05
55,-0.5,4
50,-0.5,2.6
45,-0.5,3.2
55,-0.5,4.13
48,-0.5,4.3
46,-0.5,2
41,-0.5,4
54,-0.5,4
52,-0.5,2
68,-0.5,3
54,-0.5,4.2
108,-0.5,3.9
48,-0.5,3.9
74,-0.5,9
73,-0.5,8
59,-0.5,5.2
65,-0.5,4.14
104,-0.5,10
79,-0.5,6.4
64,-0.5,6
54,-0.5,4.15
61,-0.5,5
71,-0.5,2.8
46,-0.5,3
44,-0.5,5
74,-0.5,4.1286
48,-0.5,4.15
66,-0.5,4.6
67,-0.5,4.114
66,-0.5,9
50,-0.5,5
92,-0.5,10
47,-0.5,3.8
76,-0.5,4.14
81,-0.5,8.9
70,-0.5,4.14
65,-0.5,4.1133
49,-0.5,6
46,-0.5,4.5
75,-0.5,4.1135659
48,-0.5,4.131
84,-0.5,4
84,-0.5,10
53,-0.5,4.1145
71,-0.5,8.8
72,-0.5,4.175
44,-0.5,5
43,-0.5,4.3
