runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12
5,0,0.08,0.05,0,0.07,0.08,0.1,0,-0.07,0.08,0.15,0
6,0.1,0.2,0.3,0,-0.1,0.5,0.2,0,0.1,0.8,0.4,0
4,0.1,0.28,0.07,0,-0.1,0.53,0.38,0,-0.1,0.77,0.11,0
6,-0.06,0,0.45,0,0.08,0.7,0.5,0,-0.1,0.57,0.01,0
5,-0.1,0.3,0.55,0,-0.1,0.5,0.55,0,-0.1,0.5,0.2,0
6,0.1,0.35,0.1,0,-0.1,0.78,0.1,0,0.1,0.8,0.45,0
5,0.1,0.2,0.08,0,-0.1,0.3,0.4,0,-0.1,0.6,0.01,0
5,0.03,0.2,0.1,0,-0.03,0.5,0.2,0,0.03,0.8,0.1,0
6,-0.1,0.4,0.53,0,0.1,0.67,0.4,0,-0.1,0.47,0,0
5,0.1,0.51,0.58,0,-0.1,0.62,0.49,0,-0.1,0.12,0.51,0
5,0.1,0.2,0.1,0,-0.1,0.5,0.1,0,0.1,0.8,0.4,0
3,0.1,0.2,0.5,0,-0.07,0.4,0.4,0,0.1,0.2,0.6,0
8,0.07,0.27,0.12,0,-0.07,0.6,0.16,0,0.1,0.65,0.54,0
5,0.1,0.2,0.2,0,-0.1,0.5,0.3,0,0.1,0.4,0.2,0
3,0.1,0.2,0.07,0,-0.1,0.3,0.4,0,-0.1,0.4,0.05,0
6,0.1,0.1,0.1,0,-0.1,0.4,0.3,0,0.1,0.5,0.1,0
7,0.1,0.29,0.2,0,-0.1,0.36,0.23,0,0.1,0.8,0.3,0
4,0.1,0.29,0.2,0,-0.1,0.36,0.23,0,0.09,0.82,0.2,0
5,0.1,0.25,0.05,0,-0.1,0.4,0.2,0,0.1,0.82,0.3,0
5,0.1,0.2,0.11,0,0.1,-0.1,0.5,0,0.1,0.88,0.2,0
4,0.1,0.22,0.1,0,-0.1,0.36,0.35,0,-0.1,0.58,0.03,0
5,0.1,0.2,0.2,0,-0.1,0.53,0.12,0,0.1,-0.11,0.55,0
3,0.1,0.288,0.1,0,-0.1,0.4,0.35,0,0.1,0.8,0.2,0
7,0.1,0.25,0.14,0,-0.1,0.28,0.12,0,-0.1,0.7,0.1,0
6,0.1,0.18,0.04,0,-0.1,0.4,0.28,0,-0.1,0.39,0.15,0
7,0.1,0.2,0,0,0.1,-0.2,0,0,0.1,0.45,0.6,0
5,0.05,0.26,0.2,0,-0.06,0.42,0.32,0,0.06,0.5,0.18,0
4,-0.1,0.2,0.1,0,-0.1,0.45,0.1,0,0.1,0.35,0.17,0
6,0.1,0.18,0.38,0,-0.1,0.71,0.55,0,0.1,0.55,0.08,0
9,0.1,0.3,0.2,0,-0.1,0.3,0.1,0,-0.1,0.48,0.06,0
6,0.05,0.2,0,0,-0.1,0.4,0.2,0,0.05,0.45,0.1,0
6,0.1,0.032,0.048,0,-0.1,0.275,0.255,0,0.1,0.265,0.009,0
5,0.1,0.24,0.01,0,-0.1,0.35,0.32,0,0.1,1,0.6,0
6,0.1,0.3,0.02,0,-0.1,0.449,0.31,0,0.1,0.97,0.1,0
6,0.1,-0.1,0.1,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
4,0.1,0.32,0.11,0,-0.1,0.51,0.22,0,0.1,0.94,0.59,0
5,0.1,-0.1,0,0,-0.1,0.15,0.3,0,0.1,0.1,0,0
6,0.1,0.27,0.02,0,-0.1,0.4,0.355,0,-0.1,0.95,0.03,0
5,-0.1,0.2,0.4,0,-0.1,0.4,0.5,0,0,0.5,0.1,0
9,0.1,0.2,0.1,0,-0.1,0.34,0.24,0,-0.1,0.9,0.3,0
6,0.1,0.25,0.1,0,-0.1,0.5,0.2,0,-0.1,0.67,0.1,0
7,0.09,0.2,0.1,0,0.03,0.8,0.4,0,0.1,-0.1,0.5,0
5,-0.1,0.2,0.25,0,-0.1,0.5,0.2,0,0.1,0.75,0.5,0
8,0.05,0.2,0.1,0,-0.08,0.5,0.2,0,-0.07,0.75,0.1,0
4,0.1,0.34,0.1,0,-0.1,0.65,0.1,0,0.1,0.64,0.58,0
5,0.1,0.3,0.22,0,-0.1,0.5,0.1,0,0.1,0.5,0.43,0
6,0.1,0.3,0.1,0,-0.1,0.5,0.2,0,0.1,0.9,0.58,0
4,0.053,0.2,0.1,0,-0.1,0.5,0.2,0,0.03,0.8,0.1,0
5,0.1,0.51,0.58,0,-0.1,0.62,0.51,0,-0.1,0.12,0.51,0
6,0.1,0.2,0.05,0,-0.1,0.15,0.4,0,0.1,0.4,0.15,0
6,0.1,0.22,0.12,0,-0.1,0.29,0.26,0,0.1,0.9,0.5,0
6,0.1,0.2,0.2,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
6,0.1,0.2,0.1,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
4,0.1,0.31,0.18,0,-0.1,0.01,0.51,0,0.1,0.75,0.42,0
5,0.1,0.5,0.57,0,-0.1,0.63,0.49,0,-0.1,0.12,0.51,0
6,0.04,0.19,0.17,0,-0.1,0.5,0.2,0,0.02,0.8,0.09,0
6,0.1,0.23,0.22,0,-0.1,0.27,0.18,0,0.1,-0.05,0.5,0
4,-0.1,0.1,0.2,0,-0.1,0.4,0.4,0,0.1,0.8,0.1,0
5,0.03,0.2,0.2,0,-0.03,0.5,0.29,0,0.03,0.5,0.5,0
6,0.05,0.2,0.1,0,-0.05,0.5,0.2,0,0.05,0.8,0.1,0
5,0.1,0.2,0.1,0,0.1,1,0.5,0,0.1,0.7,0.1,0
4,0.1,0.52,0.55,0,-0.1,0.63,0.42,0,-0.1,0.12,0.52,0
7,0.1,0.95,0.44,0,-0.1,-0.01,0.42,0,0.1,-0.11,0.5,0
6,0.1,0.2,0.11,0,0.1,-0.1,0.5,0,0.1,0.88,0.22,0
4,0.1,0.33,0.44,0,-0.1,0.35,0.1,0,0.1,0.35,0.05,0
6,0.01,0.06,0.01,0,-0.01,0.57,0.04,0,0.05,0.78,0.43,0
6,-0.1,0,0.385,0,-0.1,0.43,0.3,0,-0.1,0.605,0,0
4,0.1,0.28,0.01,0,-0.1,0.51,0.2,0,0.1,0.8,0.06,0
6,0.1,0.19,0.12,0,0.1,-0.02,0.6,0,0.1,0.96,0.2,0
5,0.1,0.1425,0.2,0,-0.1,0.4275,0.2,0,-0.1,0.285,0.5,0
4,0.1,0.28,0.1,0,-0.1,0.4,0.35,0,0.1,0.8,0.2,0
7,0.1,0.1,0,0,-0.1,0.1,0.2,0,0.1,0.8,0.5,0
6,0.1,-0.1,0,0,-0.1,0.3,0.4,0,0.1,0.6,0.5,0
6,0.1,0.2,0.11,0,0.1,-0.1,0.5,0,0.1,0.89,0.21,0
4,0.1,0.2,0.1,0,-0.1,0.5,0.2,0,0.1,0.4,0.1,0
6,0.05,0.2,0.15,0,-0.07,0.4,0.15,0,0.04,0.8,0.1,0
7,0.1,0.2,0.1,0,-0.1,0.5,0.6,0,-0.1,0.8,0.1,0
7,0.1,0.3,0.2,0,-0.1,0.3,0.1,0,-0.1,0.5,0.1,0
8,0.05,0.2,0.1,0,-0.1,0.5,0.2,0,0.01,0.8,0.1,0
4,0.1,0.291,0.1,0,-0.1,0.4,0.35,0,0.1,0.8,0.2,0
5,0.1,0.3,0,0,-0.1,0.5,0.2,0,0,0.8,0.1,0
6,0.1,0.2,0.09,0,0.1,0,0.5,0,0.1,1,0.2,0
6,0.05,0.2,0.1,0,0,0.5,0.2,0,0,0.8,0.1,0
8,0.04,0.2,0.1,0,-0.04,0.5,0.2,0,0.02132,0.8,0.1,0
6,0.1,0.2,0.1,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
5,0.1,0.25,0.1,0,-0.1,0.34,0.3,0,0.1,0.92,0.25,0
7,0.1,0.3,0.2,0,-0.1,0.5,0.35,0,-0.1,0.563,0,0
5,0.1,0.25,0.1,0,-0.1,0.7,0.1,0,0.1,0.8,0.45,0
6,0.1,0.25,0.1,0,-0.1,0.4,0.1,0,0.1,0.85,0.4,0
5,0.1,0.25,0.1,0,-0.1,0.4,0.3,0,0.1,0.6,0.5,0
4,0.036,0.2,0.1,0,-0.02,0.4,0.3,0,0.03,0.78,0.3,0
7,0.1,0.2,0.01,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
5,0.05,0.2,0.1,0,0.01,0.4,0.2,0,-0.1,0.6,0.3,0
5,0.1,0.22,0.1,0,-0.1,0.28,0.275,0,0.1,0.96,0.38,0
7,0.1,0.99,0.59,0,-0.1,-0.06,0.4,0,0.1,-0.09,0.5,0
