runtime,in01,in02,in03,in04,in05,in06,in07,in08
111,1024,64,5,0.05,1,1,20,1
82,1024,32,10,0.05,1,1,20,1
130,1024,64,5,0.05,1,1,20,1
91,1024,16,32,0.05,1,1,30,1
157,1024,64,5,0.05,1,1,20,1
91,1024,16,32,0.05,1,1,30,1
76,1024,8,40,0.05,1,1,20,1
78,1024,8,40,0.05,1,1,20,1
209,2048,64,5,0.05,1,1,20,1
76,1024,16,10,0.05,1,1,20,1
61,1024,16,10,0.05,1,1,20,1
92,1024,16,32,0.05,1,1,30,1
156,2048,32,10,0.05,1,1,20,1
85,1024,32,10,0.05,1,1,20,1
60,500,64,5,0.05,1,1,20,1
95,1024,64,8,0.05,1,1,30,1
82,1024,8,40,0.05,1,1,20,1
78,1024,16,20,0.05,1,1,20,1
83,1024,16,20,0.05,1,1,20,1
126,1024,64,5,0.05,1,1,20,1
91,1024,32,16,0.05,1,1,30,1
88,1024,64,5,0.05,1,1,20,1
92,1024,64,8,0.05,1,1,30,1
55,1024,16,10,0.05,1,1,20,1
51,1024,16,10,0.05,1,1,20,1
85,1024,32,10,0.05,1,1,20,1
81,1024,32,10,0.05,1,1,20,1
93,1024,8,64,0.05,1,1,30,1
71,1024,16,10,0.05,1,1,20,1
81,1024,32,10,0.05,1,1,20,1
69,1024,16,10,0.05,1,1,20,1
79,1024,32,10,0.05,1,1,20,1
82,1024,32,10,0.05,1,1,20,1
42,1024,16,10,0.05,1,1,20,1
78,1024,32,10,0.05,1,1,20,1
205,2048,64,5,0.05,1,1,20,1
83,1024,16,20,0.05,1,1,20,1
79,1024,16,20,0.05,1,1,20,1
156,2048,32,10,0.05,1,1,20,1
96,1024,8,64,0.05,1,1,30,1
92,1024,16,32,0.05,1,1,30,1
125,1024,64,5,0.05,1,1,20,1
91,1024,64,8,0.05,1,1,30,1
92,1024,16,32,0.05,1,1,30,1
126,1024,64,5,0.05,1,1,20,1
44,500,32,10,0.05,1,1,20,1
94,1024,16,32,0.05,1,1,30,1
118,1024,64,5,0.05,1,1,20,1
75,1024,8,40,0.05,1,1,20,1
45,1024,16,10,0.05,1,1,20,1
152,2048,32,10,0.05,1,1,20,1
156,2048,32,10,0.05,1,1,20,1
84,1024,32,10,0.05,1,1,20,1
91,1024,64,8,0.05,1,1,30,1
81,1024,32,10,0.05,1,1,20,1
96,1024,32,16,0.05,1,1,30,1
151,2048,32,10,0.05,1,1,20,1
96,1024,64,5,0.05,1,1,20,1
40,500,16,20,0.05,1,1,20,1
81,1024,32,10,0.05,1,1,20,1
129,1024,64,5,0.05,1,1,20,1
79,1024,8,40,0.05,1,1,20,1
79,1024,16,20,0.05,1,1,20,1
92,1024,16,32,0.05,1,1,30,1
78,1024,16,20,0.05,1,1,20,1
80,1024,16,20,0.05,1,1,20,1
130,1024,64,5,0.05,1,1,20,1
76,1024,8,40,0.05,1,1,20,1
93,1024,32,16,0.05,1,1,30,1
81,1024,32,10,0.05,1,1,20,1
64,1024,16,10,0.05,1,1,20,1
83,1024,32,10,0.05,1,1,20,1
94,1024,8,64,0.05,1,1,30,1
93,1024,8,64,0.05,1,1,30,1
157,1024,64,8,0.05,1,1,30,1
80,1024,16,20,0.05,1,1,20,1
196,2048,64,5,0.05,1,1,20,1
92,1024,64,8,0.05,1,1,30,1
78,1024,16,20,0.05,1,1,20,1
84,1024,8,40,0.05,1,1,20,1
95,1024,8,64,0.05,1,1,30,1
81,1024,32,10,0.05,1,1,20,1
63,1024,16,10,0.05,1,1,20,1
92,1024,32,16,0.05,1,1,30,1
82,1024,32,10,0.05,1,1,20,1
131,1024,64,5,0.05,1,1,20,1
131,1024,64,5,0.05,1,1,20,1
79,1024,16,20,0.05,1,1,20,1
77,1024,16,20,0.05,1,1,20,1
94,1024,8,64,0.05,1,1,30,1
92,1024,64,8,0.05,1,1,30,1
99,1024,64,5,0.05,1,1,20,1
92,1024,32,16,0.05,1,1,30,1
163,2048,32,10,0.05,1,1,20,1
82,1024,16,20,0.05,1,1,20,1
82,1024,16,20,0.05,1,1,20,1
93,1024,32,16,0.05,1,1,30,1
80,1024,8,40,0.05,1,1,20,1
93,1024,8,64,0.05,1,1,30,1
16,250,16,16,0.05,1,1,20,1
79,1024,32,10,0.05,1,1,20,1
65,1024,16,10,0.05,1,1,20,1
113,1024,64,5,0.05,1,1,20,1
46,1024,16,10,0.05,1,1,20,1
78,1024,16,20,0.05,1,1,20,1
161,1024,64,5,0.05,1,1,20,1
78,1024,16,20,0.05,1,1,20,1
92,1024,32,16,0.05,1,1,30,1
58,1024,16,10,0.05,1,1,20,1
79,1024,32,10,0.05,1,1,20,1
153,2048,32,10,0.05,1,1,20,1
53,1024,16,10,0.05,1,1,20,1
42,500,8,40,0.05,1,1,20,1
63,1024,16,10,0.05,1,1,20,1
97555,1024,32,16,0.05,1,1,20,1
90,1024,64,5,0.05,1,1,20,1
79,1024,8,40,0.05,1,1,20,1
79,1024,8,40,0.05,1,1,20,1
87,1024,32,10,0.05,1,1,20,1
65,1024,16,10,0.05,1,1,20,1
126,1024,64,5,0.05,1,1,20,1
92,1024,16,32,0.05,1,1,30,1
83,1024,8,40,0.05,1,1,20,1
92,1024,32,16,0.05,1,1,30,1
101,1024,64,5,0.05,1,1,20,1
150,2048,32,10,0.05,1,1,20,1
129,1024,32,16,0.05,1,1,30,1
40,500,16,20,0.05,1,1,20,1
76,1024,32,10,0.05,1,1,20,1
154,2048,32,10,0.05,1,1,20,1
93,1024,16,32,0.05,1,1,30,1
92,1024,8,64,0.05,1,1,30,1
78,1024,32,10,0.05,1,1,20,1
80,1024,32,10,0.05,1,1,20,1
92,1024,32,16,0.05,1,1,30,1
91,1024,32,16,0.05,1,1,30,1
79,1024,8,40,0.05,1,1,20,1
93,1024,32,16,0.05,1,1,30,1
80,1024,8,40,0.05,1,1,20,1
80,1024,8,40,0.05,1,1,20,1
78,1024,32,10,0.05,1,1,20,1
124,1024,64,5,0.05,1,1,20,1
108,1024,64,5,0.05,1,1,20,1
93,1024,64,8,0.05,1,1,30,1
79,1024,32,10,0.05,1,1,20,1
97,1024,16,32,0.05,1,1,30,1
51,1024,16,10,0.05,1,1,20,1
249,2048,64,5,0.05,1,1,20,1
95,1024,64,8,0.05,1,1,30,1
80,1024,32,10,0.05,1,1,20,1
94,1024,64,8,0.05,1,1,30,1
107,1024,64,5,0.05,1,1,20,1
81,1024,8,40,0.05,1,1,20,1
176,2048,64,5,0.05,1,1,20,1
81,1024,16,20,0.05,1,1,20,1
82,1024,16,20,0.05,1,1,20,1
150,1024,16,32,0.05,1,1,40,1
82,1024,16,20,0.05,1,1,20,1
82,1024,32,10,0.05,1,1,20,1
79,1024,8,40,0.05,1,1,20,1
93,1024,16,32,0.05,1,1,30,1
78,1024,8,40,0.05,1,1,20,1
52,1024,16,10,0.05,1,1,20,1
88,1024,32,10,0.05,1,1,20,1
81,1024,32,10,0.05,1,1,20,1
153,1024,64,5,0.05,1,1,20,1
79,1024,8,40,0.05,1,1,20,1
120,1024,64,5,0.05,1,1,20,1
79,1024,8,40,0.05,1,1,20,1
50,1024,16,10,0.05,1,1,20,1
145,1024,64,5,0.05,1,1,20,1
94,1024,8,64,0.05,1,1,30,1
92,1024,8,64,0.05,1,1,30,1
42,1024,16,1,0.05,1,1,20,1
86,1024,8,40,0.05,1,1,20,1
93,1024,8,64,0.05,1,1,30,1
94,1024,16,32,0.05,1,1,30,1
76,1024,16,10,0.05,1,1,20,1
97,1024,32,10,0.05,1,1,20,1
119,1024,64,5,0.05,1,1,20,1
63,1024,16,10,0.05,1,1,20,1
104,1024,64,5,0.05,1,1,20,1
76,1024,16,20,0.05,1,1,20,1
13,250,16,10,0.05,1,1,20,1
94,1024,8,64,0.05,1,1,30,1
92,1024,8,64,0.05,1,1,30,1
61,1024,16,10,0.05,1,1,20,1
112,1024,64,5,0.05,1,1,20,1
91,1024,16,32,0.05,1,1,30,1
77,1024,16,20,0.05,1,1,20,1
93,1024,8,64,0.05,1,1,30,1
95,1024,64,8,0.05,1,1,30,1
156,2048,32,10,0.05,1,1,20,1
3,50,8,8,0.05,1,1,20,1
93,1024,16,32,0.05,1,1,30,1
79,1024,8,40,0.05,1,1,20,1
108,1024,64,5,0.05,1,1,20,1
92,1024,64,8,0.05,1,1,30,1
192,2048,64,5,0.05,1,1,20,1
79,1024,16,20,0.05,1,1,20,1
180,2048,64,5,0.05,1,1,20,1
93,1024,64,8,0.05,1,1,30,1
76,1024,16,10,0.05,1,1,20,1
128,1024,64,5,0.05,1,1,20,1
80,1024,8,40,0.05,1,1,20,1
80,1024,32,10,0.05,1,1,20,1
54,1024,16,10,0.05,1,1,20,1
80,1024,16,20,0.05,1,1,20,1
81,1024,32,10,0.05,1,1,20,1
104,1024,64,5,0.05,1,1,20,1
80,1024,8,40,0.05,1,1,20,1
128,1024,64,5,0.05,1,1,20,1
67,1024,16,10,0.05,1,1,20,1
173,2048,64,5,0.05,1,1,20,1
92,1024,32,16,0.05,1,1,30,1
87,1024,32,10,0.05,1,1,20,1
195,2048,64,5,0.05,1,1,20,1
93,1024,32,16,0.05,1,1,30,1
88,500,64,5,0.05,1,1,20,1
82,1024,8,40,0.05,1,1,20,1
94,1024,64,5,0.05,1,1,20,1
168,2048,64,5,0.05,1,1,20,1
84,1024,16,20,0.05,1,1,20,1
82,1024,32,10,0.05,1,1,20,1
90,1024,32,10,0.05,1,1,20,1
173,1024,64,5,0.05,1,1,20,1
65,1024,16,10,0.05,1,1,20,1
92,1024,64,8,0.05,1,1,30,1
78,1024,32,10,0.05,1,1,20,1
