runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in20,in21,in22,in23,in24,in25,in26,in27,in28,in29,in30
2966,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1.5,2.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5007,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5712,38,4,300,0.2,-0.2,1,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
2771,38,4,300,0.2,-0.2,5,80,0.2,-0.2,3,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.639,2.621,-0.2,0.2,0.05,10000000,1000000
4293,38,4,300,0.1,-0.1,5,80,0.1,-0.1,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5515,38,4,300,0.1,-0.1,5,80,0.1,-0.1,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4948,38,4,300,0.2,-0.2,5,80,0.2,-0.2,2,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.587,2.584,-0.2,0.2,0.05,10000000,1000000
5523,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.584,2.586,-0.2,0.2,0.05,10000000,1000000
6649,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1,2,0.8,2,0.8,61,61,81,121,121,161,1,1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
2601,38,4,300,0.08,-0.08,5,80,0.08,-0.08,3,2.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4887,38,4,300,0.2,-0.2,5,80,0.2,-0.2,2.5,2.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.671,2.671,-0.2,0.2,0.05,10000000,1000000
4537,38,4,300,0.25,-0.25,5,80,0.25,-0.25,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
3009,38,4,300,0.08,-0.08,5,80,0.08,-0.08,0.5,3,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5492,38,4,300,0.4,-0.4,5,80,0.4,-0.4,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.584,2.586,-0.2,0.2,0.05,10000000,1000000
4878,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1,1.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.563,2.563,-0.2,0.2,0.05,10000000,1000000
0,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,10,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
5044,38,4,300,0.2,-0.2,5,80,0.2,-0.2,2,3,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.666,2.681,-0.2,0.2,0.05,10000000,1000000
0,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,120,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
5934,38,4,300,0.2,-0.2,4,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
