runtime,in01,in02,in03,in04
8438,38,30,0,15
1367,38.1,90,0,60
9293,36,90,0,120
731,38.5,90,0,102.119
2142,29,70,0,50
1085,38.5,70,-90,-177.9
3905,38.6,75,0,80
1179,38.7,0,0,19
840,15,45,0,19
1095,39,105,0,110
1044,37.3,0,0,81
4820,38,25,15,-20.55
2322,38.7,90,0,90
1994,38.7,74.2,12.69,84.1
784,37.6,30,0,10
2874,32,75,0,70
5795,38.7,82.69,12.69,95
3074,38.6,82.69,12.69,75.375
3128,37,85,0,75
224,32,-5,0,-40
3686,38.7,82.69,0,86.73
4245,39,85.79,12.69,84.1
1353,29,90,0,97.7
2910,39,65,0,50
9428,38.053,-95,0,90
7195,36,90,0,80
8679,38.7,82.69,12.69,70
7942,38.7,82.69,12.69,84.1
7892,38.1,88,8.4,85.3
1145,39,-50,0,-102.5
1617,38.518,90,0,101.9
2986,30,35,0,19
874,38.9,135,-135,30
2302,38.5,90,0,102.6
13931,36,82.69,12.69,84.1
1203,38.5,82.69,12.69,78.1
2247,38.5,-30,0,-60
4135,38,82.69,12.69,84.1
1217,38,84.5,12.69,84.1
149,29,95,82.5,175
896,37.78,0,0,50.32
3653,38.3,88,7.5,86
5570,38,45,0,12
5433,32,90,0,97.162
1527,38.7,-82.69,12.69,160
2826,39,80,0,40
3676,36.5,-60,0,-132
3223,38,82.69,12.69,84.1
3210,37.12,87.46,23.45,89.99
1404,39,60,0,70
8449,38.55,90,0,103
9570,37.75,82.69,12.69,84.1
1317,37,90,90,84.1
3547,38.7,82.69,12.69,75.43
871,38.7,82.69,0,84.1
1251,38.5,66.4,0,56.52
19606,38.2,90,12.69,87.1
3494,38.7,82.69,12.69,65
1857,37.8,108,90,55
2286,33,0,-90,0
1919,37.8,0,0,-49.26
1054,38,30,0,2
99,0,0,0,0
2380,38.8,82.69,12.69,75.45
1393,38.7,82.69,12.69,75.5
3394,39,82.69,30,0
2233,37,75,0,70
9489,38,82.69,12.69,71.5
6837,38.5,70,-90,-177.25
5958,38.7,82.69,12.69,84.1
3857,37.8,0,0,-56
3280,37.8,90,12.69,85
1208,38.4,90,0,101.3
3652,39,70,0,30
1507,39,82.69,12.69,84.1
6603,38.9,102,0,127.2
7436,38.7,79,12.69,84.1
1021,38,-40,0,-124
11377,38.6,70.4,0,63
2313,38.7,82.69,0,104
4122,38.5,85,90,44.9
96,16,-120,70,84.1
7893,38.7,-67,12,45
3652,39,90,0,100
1184,34,108.89,38.89,84.1
4001,38.5,90,0,123.744243
1372,37.8,30,0,-15
3132,38.03,90,0,102.6
437,37.78,0,0,-50.42
3136,37,80,0,90
12097,37.7,82.69,12.69,84.1
692,38.1,82.69,12.69,72.81
14986,38.7,60,0,84.1
2845,35,82.69,12.69,84.1
2610,37.4,75,0,80
2030,36,60,0,90
1359,37.8,-35,0,-132
1385,37.69,0,0,-56.7
