runtime,in01,in02
314,0,0.2
1343,0,0.286
427,1,0.7
1896,0,0.29
3576,0,0.5
405,0,0.7
417,0,0.5
3081,0,0.285
1865,0,0.585
2589,0,0.6
4339,0,0.153
2363,0,0.32
2804,0,0.3
344,0,0.95
2311,0,0.143
1376,0,0.25
3060,0,0.72
43,0,0.3
411,0,0.2
2023,0,0.4
2320,0,0.45
185,0,0.285
2792,0,0.2
1316,0,0.427
2121,0,0.285
2311,0,0.143
2545,0,0.4
978,0,0.7
1216,0,0.35
44,0,0.4
2489,0,0.3
1371,0,0.714
1008,0,0.275
4743,0,0.5
405,1,0.5
1840,0,0.143
1960,0,0.7
2281,0,0.42
46,0.333,1
2723,0,0.1
416,1,0.1
2471,0,0.2
3102,0,0.525
7,0,0.57
64,1,0.8
2289,0,0.28
274,0,0.143
2252,0,0.9
124,0,0.714
2657,0,0.87
1797,0,0.426
1214,0,0.426
3,0,0.2
1528,0,0.5
396,0,0.3
2603,0,0.71
37,0,0
1631,0,0.143
2182,0,0.69
2732,0,0.88
1438,0,0.5
1134,0,0.145
42,0,0.7
1156,0,0.758
2739,0,0.8
2670,0,0.3
1808,0,0.6
43,0,0
1797,0,0.43
407,0,0.9
408,0,0.5
266,0,0.286
427,1,0.1
2502,0,0.5
338,1,0.75
5309,0,0.367879689
430,0,1
3114,0,0.375
413,1,0.7
2184,0,0.15
875,0,0.28571429
1859,0,0.284
2221,0,0.143
1536,0,0.3
1147,0,0.071
2545,0,0.7
2619,0,0.25
2276,0,0.285
1426,0,0.279
418,0,0.8
1510,0,0.26
2804,0,0.7
6,0,0.287
2644,0,0.5
2155,0,0.2
330,0,0.71
1011,0,0.4
999,0,0.2
422,1,0.8
2725,0,0.35
2379,0,0.714
2315,0,0.286
3084,0,0.1
3351,0,0.285
2568,0,0.6
296,0,0.429
1826,0,0.9
419,0,0.5
3298,0,0.45
401,1,0.8
2574,0,0.8
321,0,0.3
2004,0,0.143
123,0,0.286
2236,0,0.575
2739,0,0.85
2038,0,0.58
1877,0,0.275
2030,0,0.6
1948,0,0.7
1267,0,0.42
1149,0,0.571
4742,0,0.146
2312,0,0.3
3949,0,0.125
1475,0,0.3
2895,0,0.2
2625,0,0.1
2217,0,0.84
2477,0,0.14
2316,0,0.268
1862,0,0.285
225,0,0.714
3608,0,0.2
397,1,1
2869,0,0.286
4347,0,0.4
2740,0,0.3
1116,0,0.286
2302,0,0.57
3055,0,0.275
2091,0,0.5
1302,0,0.143
2149,0,0.3
2880,0,0.65
2525,0,0.45
2860,0,0.84
3289,0,0.77
1629,0,0.4
173,1,0.045
144,0,0.857
2519,0,0.28
2735,0,0.1
2292,0,0.55
3102,0,0.45
2821,0,0.3
2302,0,0.5
4148,0,0.85
1862,0,0.2
4070,0,0.9
2179,0,0.41
