runtime,in01,in02
42,-0.5,2
64,-0.5,2.893
69,-0.5,10
111,-0.5,8.5
52,-0.5,2.9
52,-0.5,2.899391
59,-0.5,6.5
54,-0.5,2.88
46,-0.5,5
84,-0.5,6
38,-0.5,2.8
33,-0.5,2.9093
44,-0.5,4.5
48,-0.5,5.6
36,-0.5,2.8985
62,-0.5,6
70,-0.5,9
53,-0.5,2.89693
53,-0.5,6.4
41,-0.5,2.896907
59,-0.5,2.8
74,-0.5,7
63,-0.5,6
47,-0.5,3
55,-0.5,3
77,-0.5,9.2
102,-0.5,8
47,-0.5,2
56,-0.5,4.01
67,-0.5,3.8
71,-0.5,7
45,-0.5,3
74,-0.5,5
100,-0.5,9
63,-0.5,2.89
71,-0.5,7.5
45,-0.5,2.75
57,-0.5,4.3
57,-0.5,4
60,-0.5,4
44,-0.5,3
70,-0.5,5
49,-0.5,2.5
91,-0.5,10
64,-0.5,5.5
73,-0.5,5
77,-0.5,8.5
54,-0.5,4.5
46,-0.5,2.899
41,-0.5,3
103,-0.5,5
76,-0.5,8.6
62,-0.5,5
36,-0.5,3
43,-0.5,4
76,-0.5,3.38
59,-0.5,5
35,-0.5,2
55,-0.5,2.8975
83,-0.5,7
72,-0.5,8.6
41,-0.5,2.895
56,-0.5,7.5
38,-0.5,2
62,-0.5,8.5
68,-0.5,6
40,-0.5,2.5
38,-0.5,2.9167
68,-0.5,2.896
59,-0.5,2
32,-0.5,2.44
85,-0.5,9
75,-0.5,5
61,-0.5,2.82
49,-0.5,2.85
55,-0.5,2.88
42,-0.5,3.5
61,-0.5,9
43,-0.5,6.5
42,-0.5,2.89955
43,-0.5,2
66,-0.5,10
66,-0.5,5
73,-0.5,9
38,-0.5,4
66,-0.5,9.5
71,-0.5,7
34,-0.5,2.8993125
42,-0.5,2.89674
43,-0.5,2.87
58,-0.5,2.886
68,-0.5,7
68,-0.5,2.74
64,-0.5,2.899
40,-0.5,3
41,-0.5,4.22199
55,-0.5,2.89
49,-0.5,2.89732
41,-0.5,3
50,-0.5,2.909
32,-0.5,2.8
51,-0.5,3.97
49,-0.5,4
43,-0.5,3
45,-0.5,2.8966
94,-0.5,9.5
37,-0.5,2.897
41,-0.5,2
64,-0.5,2.895
55,-0.5,3.4
69,-0.5,6.8
36,-0.5,2
40,-0.5,2.75
56,-0.5,2.898
62,-0.5,8
87,-0.5,8
37,-0.5,2
60,-0.5,2.8
57,-0.5,2.896862
54,-0.5,6.3
52,-0.5,3.6
39,-0.5,2.2
52,-0.5,2.913043833
38,-0.5,2.5
37,-0.5,2.8
47,-0.5,5
48,-0.5,2.89722
60,-0.5,2.9
63,-0.5,6
36,-0.5,4
46,-0.5,2.7
55,-0.5,4
35,-0.5,2.9
68,-0.5,6
45,-0.5,2.9
45,-0.5,3.67
77,-0.5,3
55,-0.5,5
43,-0.5,4
59,-0.5,2.4
63,-0.5,5.1
50,-0.5,2.89742
80,-0.5,8
39,-0.5,2
82,-0.5,5.5
42,-0.5,2
39,-0.5,2.8
61,-0.5,5.7
63,-0.5,3
64,-0.5,7
67,-0.5,5.4
62,-0.5,3.1
83,-0.5,8
44,-0.5,2.95
77,-0.5,3
83,-0.5,10
37,-0.5,2
66,-0.5,8
55,-0.5,2.7
45,-0.5,4.3
79,-0.5,2.95
68,-0.5,8
72,-0.5,2.897
68,-0.5,6
46,-0.5,4
43,-0.5,2.87
52,-0.5,4
98,-0.5,4.5
39,-0.5,2.1
